decile,cnt_cust,cnt_resp,cum_cust,cum_resp,prob_avg,lift,lift_marg,cum_resp_pct,effective_rate,%_cum_resp_pct
68,100.0,2.0,6800.0,683.0,0.007,1.354,0.27,92.049,10.044117647058824,6800.0
69,100.0,5.0,6900.0,688.0,0.007,1.344,0.674,92.722,9.971014492753623,6900.0
70,100.0,5.0,7000.0,693.0,0.007,1.334,0.674,93.396,9.9,7000.0
71,100.0,0.0,7100.0,693.0,0.007,1.315,0.0,93.396,9.76056338028169,7100.0
72,100.0,2.0,7200.0,695.0,0.006,1.301,0.27,93.666,9.652777777777779,7200.0
73,100.0,0.0,7300.0,695.0,0.006,1.283,0.0,93.666,9.520547945205479,7300.0
74,100.0,3.0,7400.0,698.0,0.006,1.271,0.404,94.07,9.432432432432432,7400.0
75,100.0,1.0,7500.0,699.0,0.006,1.256,0.135,94.205,9.32,7500.0
76,100.0,1.0,7600.0,700.0,0.005,1.241,0.135,94.34,9.210526315789474,7600.0
77,100.0,3.0,7700.0,703.0,0.005,1.23,0.404,94.744,9.12987012987013,7700.0
78,100.0,4.0,7800.0,707.0,0.005,1.222,0.539,95.283,9.064102564102564,7800.0
79,100.0,2.0,7900.0,709.0,0.005,1.21,0.27,95.553,8.974683544303797,7900.0
80,100.0,4.0,8000.0,713.0,0.005,1.201,0.539,96.092,8.9125,8000.0
81,100.0,0.0,8100.0,713.0,0.004,1.186,0.0,96.092,8.802469135802468,8100.0
82,100.0,0.0,8200.0,713.0,0.004,1.172,0.0,96.092,8.695121951219512,8200.0
83,100.0,1.0,8300.0,714.0,0.004,1.159,0.135,96.226,8.602409638554217,8300.0
84,100.0,7.0,8400.0,721.0,0.004,1.157,0.943,97.17,8.583333333333334,8400.0
85,100.0,1.0,8500.0,722.0,0.004,1.145,0.135,97.305,8.494117647058824,8500.0
86,100.0,0.0,8600.0,722.0,0.003,1.131,0.0,97.305,8.395348837209303,8600.0
87,100.0,0.0,8700.0,722.0,0.003,1.118,0.0,97.305,8.298850574712644,8700.0
88,100.0,1.0,8800.0,723.0,0.003,1.107,0.135,97.439,8.215909090909092,8800.0
89,100.0,2.0,8900.0,725.0,0.003,1.098,0.27,97.709,8.146067415730338,8900.0
90,100.0,3.0,9000.0,728.0,0.003,1.09,0.404,98.113,8.088888888888889,9000.0
91,100.0,1.0,9100.0,729.0,0.002,1.08,0.135,98.248,8.010989010989011,9100.0
92,100.0,0.0,9200.0,729.0,0.002,1.068,0.0,98.248,7.923913043478261,9200.0
93,100.0,3.0,9300.0,732.0,0.002,1.061,0.404,98.652,7.870967741935484,9300.0
94,100.0,1.0,9400.0,733.0,0.002,1.051,0.135,98.787,7.797872340425532,9400.0
95,100.0,2.0,9500.0,735.0,0.002,1.043,0.27,99.057,7.7368421052631575,9500.0
96,100.0,0.0,9600.0,735.0,0.001,1.032,0.0,99.057,7.65625,9600.0
97,100.0,1.0,9700.0,736.0,0.001,1.023,0.135,99.191,7.587628865979381,9700.0
98,100.0,2.0,9800.0,738.0,0.001,1.015,0.27,99.461,7.530612244897959,9800.0
99,100.0,1.0,9900.0,739.0,0.001,1.006,0.135,99.596,7.4646464646464645,9900.0
100,100.0,3.0,10000.0,742.0,0.0,1.0,0.404,100.0,7.42,10000.0
